Genus_&_Specie,Time,Location,Zone,Current_Country,Habitat,Cranial_Capacity,Height,Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,287.57,113.0,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
hominino Sahelanthropus tchadensis,7,Africa,central,Republic of Chad,mixed,115.89,98.71,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1005.57,164.06,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,644.5,121.33,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,288.5,106.5,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,629.09,133.59,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,570.18,100.54,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,358.75,119.24,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,338.83,103.54,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,441.62,121.77,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1170.8,178.97,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,338.41,108.41,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,261.85,107.62,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1224.68,165.57,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,802.2,151.04,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,352.77,115.64,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,256.88,105.19,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,998.28,163.92,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,259.56,117.66,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,491.66,99.48,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,523.54,110.02,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Heidelbergensis,500-250,Europa,central-europe,Germany,cold forest,1240.74,174.18,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,1019.29,165.41,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Heidelbergensis,500-250,Europa,central-europe,Germany,cold forest,1256.88,178.95,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,806.89,133.21,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1145.18,154.57,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Naledi,300-225,Africa,south,South Africa,jungle,416.09,149.87,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,299.68,105.59,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
hominino Orrorin tugenencin,6,Africa,oriental,Kenya,forest,112.02,119.0,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,764.03,150.82,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,389.12,116.68,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,293.54,127.91,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,259.83,92.4,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Heidelbergensis,500-250,Europa,central-europe,Germany,cold forest,1333.75,181.47,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,735.38,139.14,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,747.25,154.72,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,365.25,101.98,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,384.51,126.8,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,807.35,166.58,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1092.95,146.87,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,395.73,124.68,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,290.86,122.56,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,392.92,123.7,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,783.42,137.19,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,559.99,111.23,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Orrorin tugenencin,6,Africa,oriental,Kenya,forest,111.61,122.71,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,466.42,117.4,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,543.88,124.32,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,391.61,112.95,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,889.8,159.37,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,467.28,126.39,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Sahelanthropus tchadensis,7,Africa,central,Republic of Chad,mixed,210.04,89.6,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
hominino Orrorin tugenencin,6,Africa,oriental,Kenya,forest,218.88,111.08,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Naledi,300-225,Africa,south,South Africa,jungle,343.53,139.84,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,699.49,129.38,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Australopithecus Garhi,2.5,Africa,oriental,Ethiopia,mixed,350.49,127.21,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,758.56,142.67,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,556.31,98.23,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,314.61,129.12,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1020.19,150.14,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1023.0,160.3,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,975.39,164.47,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
hominino Sahelanthropus tchadensis,7,Africa,central,Republic of Chad,mixed,173.81,82.5,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,1048.97,171.7,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1078.28,163.81,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1052.92,148.29,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,248.3,92.76,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,673.62,147.8,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,379.78,133.82,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,1025.25,161.95,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,431.35,120.28,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,435.97,124.08,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Orrorin tugenencin,6,Africa,oriental,Kenya,forest,120.24,110.42,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,553.7,108.03,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1168.09,161.04,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,792.93,127.9,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1093.98,166.97,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,310.83,101.99,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,418.59,123.12,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1107.14,159.16,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,744.43,147.64,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,687.21,132.39,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
hominino Orrorin tugenencin,6,Africa,oriental,Kenya,forest,179.87,110.02,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,331.61,117.77,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
hominino Orrorin tugenencin,6,Africa,oriental,Kenya,forest,91.55,124.19,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,381.79,134.67,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,483.04,119.85,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,449.58,110.04,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1044.63,146.31,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Naledi,300-225,Africa,south,South Africa,jungle,280.16,150.63,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,231.57,112.4,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Garhi,2.5,Africa,oriental,Ethiopia,mixed,317.74,127.42,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,569.3,113.5,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,392.19,134.01,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1159.77,140.37,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,1049.85,172.44,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,542.86,106.48,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,330.65,114.06,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,427.17,115.29,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,558.03,117.13,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,914.56,168.53,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,702.92,131.75,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,230.36,104.21,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
hominino Orrorin tugenencin,6,Africa,oriental,Kenya,forest,167.16,119.29,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1155.4,167.49,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,400.92,107.86,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,346.16,127.36,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,847.5,150.63,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,359.7,116.06,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,846.93,169.05,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,256.81,110.13,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,813.88,128.92,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,737.24,152.94,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Heidelbergensis,500-250,Europa,central-europe,Germany,cold forest,1289.8,165.55,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,340.71,115.61,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,440.21,105.52,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,510.28,110.13,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,746.5,157.23,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,525.94,113.41,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Naledi,300-225,Africa,south,South Africa,jungle,362.46,151.35,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1207.63,161.51,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
